farm_id,crop,area,yield,rainfall,temperature,fertilizer,pesticide,soil_type,irrigation,cost,revenue,profit,season,region
0,Maize,-5.0,5,5000,100,50,10,Sandy,yes,1000,2000,-1000,Wet,Region1
1,Rice,-5.0,-1,10000,20,200,100,Clay,yes,1000,2000,500,Dry,Region1
2,Rice,-5.0,2,5000,45,200,10,Clay,yes,-500,100,500,Dry,Region2
3,Wheat,10.0,5,10000,20,200,100,Clay,yes,-500,2000,500,Dry,Region2
4,Rice,10.0,5,100,20,50,10,Clay,0,-500,100,-1000,Wet,Region1
5,Wheat,-5.0,2,10000,45,200,10,Sandy,1,1000,100,500,Dry,Region1
6,Wheat,1.5,2,100,45,200,10,Clay,1,1000,2000,-1000,Wet,Region1
7,Maize,10.0,2,100,45,200,10,Clay,0,-500,2000,500,Dry,Region1
8,Maize,10.0,2,10000,45,200,100,Clay,0,1000,2000,500,Dry,Region2
9,Maize,-5.0,5,100,100,200,10,Sandy,0,1000,100,500,Dry,Region1
10,Rice,-5.0,-1,10000,20,200,100,Clay,1,1000,2000,500,Dry,Region2
11,Rice,-5.0,-1,5000,45,200,100,Sandy,yes,1000,2000,500,Dry,Region2
12,Wheat,-5.0,-1,10000,20,200,10,Clay,yes,1000,2000,-1000,Wet,Region2
13,Rice,1.5,2,100,45,200,10,Clay,1,1000,100,-1000,Dry,Region1
14,Rice,10.0,5,10000,45,50,10,Clay,1,1000,100,-1000,Dry,Region1
15,Rice,10.0,-1,5000,100,50,10,Sandy,1,1000,100,500,Wet,Region1
16,Maize,-5.0,2,10000,100,200,100,Clay,yes,1000,2000,500,Dry,Region2
17,Maize,-5.0,5,5000,100,200,100,Sandy,yes,1000,2000,-1000,Dry,Region2
18,Rice,1.5,-1,100,45,200,100,Clay,1,-500,2000,500,Dry,Region2
19,Wheat,10.0,5,100,45,200,100,Clay,yes,-500,2000,500,Wet,Region1
20,Wheat,10.0,2,100,20,200,100,Clay,yes,1000,100,500,Dry,Region2
21,Maize,10.0,2,5000,45,200,100,Sandy,1,1000,2000,-1000,Dry,Region2
22,Wheat,10.0,5,10000,100,50,10,Sandy,1,1000,2000,-1000,Dry,Region1
23,Rice,-5.0,2,5000,20,200,10,Clay,0,-500,100,500,Dry,Region2
24,Wheat,-5.0,2,100,20,200,100,Clay,1,1000,2000,-1000,Wet,Region1
25,Maize,10.0,2,10000,20,200,100,Sandy,1,1000,2000,500,Dry,Region1
26,Maize,1.5,5,10000,45,200,10,Sandy,yes,1000,2000,-1000,Wet,Region2
27,Maize,10.0,2,100,20,200,10,Clay,yes,-500,2000,-1000,Dry,Region2
28,Maize,-5.0,-1,100,20,200,100,Clay,yes,-500,100,-1000,Dry,Region2
29,Rice,-5.0,-1,5000,100,200,10,Sandy,yes,1000,2000,-1000,Dry,Region1
30,Wheat,10.0,-1,10000,20,200,10,Clay,0,-500,100,-1000,Wet,Region1
31,Maize,10.0,2,5000,45,200,100,Clay,0,-500,2000,-1000,Dry,Region1
